"Paper Name","DOI","Run ID","Method","Total Formulation Volume","API Name","API Initial Amount","Chitosan Molecular Weight/Type","Chitosan Initial Amount","Alginate Initial Amount","CS_ALG Ratio","Surfactant Type","Surfactant Initial Amount","Crosslinker Type","Crosslinker Initial Amount","Stirring Speed","Temperature","Sonication Time","pH","Particle Size","Zeta Potential","Encapsulation Efficiency","Data Extraction Remarks","Data Extraction Thoughts"
"Formulation, Optimization, and Characterization of Biocompatible Inhalable D-Cycloserine-Loaded Alginate-Chitosan Nanoparticles for Pulmonary Drug Delivery","10.22159/ajpcr.2016.v9s2.11814","F2","Ionotropic gelation",,"D-Cycloserine","120 mg","CHI (85% DDA)","4 mL @ 3 mg","20 mL @ 16 mg",,,,"CaCl2","1 mL @ 18 mM","30 min",,"2 min","5.0","344 nm",,"98.10%",,"- Constants & Hunted Values: Fixed pH (ALG=5.0, CHI=5.5). Methods text states 20 mL of ALG solution, 4 mL of CHI solution, and 1 mL of CaCl2 solution were used for all runs. CaCl2 concentration is 18 mM. Stirring was 30 min post-mixing. Ultrasonication at 100% amplitude for 2 min.
- DoE Mapping: CHI: -1=1 mg, 0=2 mg, +1=3 mg. Sodium ALG: -1=8 mg, 0=12 mg, +1=16 mg. Drug: -1=40 mg, 0=80 mg, +1=120 mg.
- Volume Logic: Total Vol is not explicitly stated as a single final volume, but component volumes sum to 25 mL. Outputting NaN for Total Vol to strictly follow 'explicitly stated' rule.
- CQA Pairing Strategy: Table 3 provides DoE inputs alongside Particle Size and EE outputs. Zeta Potential is only reported for the optimized batch (-42 mV), so it is NaN for F1-F11. All 11 runs successfully paired with Size and EE."
"Formulation, Optimization, and Characterization of Biocompatible Inhalable D-Cycloserine-Loaded Alginate-Chitosan Nanoparticles for Pulmonary Drug Delivery","10.22159/ajpcr.2016.v9s2.11814","F3","Ionotropic gelation",,"D-Cycloserine","120 mg","CHI (85% DDA)","4 mL @ 1 mg","20 mL @ 8 mg",,,,"CaCl2","1 mL @ 18 mM","30 min",,"2 min","5.0","366 nm",,"97.69%",,"- Constants & Hunted Values: Fixed pH (ALG=5.0, CHI=5.5). Methods text states 20 mL of ALG solution, 4 mL of CHI solution, and 1 mL of CaCl2 solution were used for all runs. CaCl2 concentration is 18 mM. Stirring was 30 min post-mixing. Ultrasonication at 100% amplitude for 2 min.
- DoE Mapping: CHI: -1=1 mg, 0=2 mg, +1=3 mg. Sodium ALG: -1=8 mg, 0=12 mg, +1=16 mg. Drug: -1=40 mg, 0=80 mg, +1=120 mg.
- Volume Logic: Total Vol is not explicitly stated as a single final volume, but component volumes sum to 25 mL. Outputting NaN for Total Vol to strictly follow 'explicitly stated' rule.
- CQA Pairing Strategy: Table 3 provides DoE inputs alongside Particle Size and EE outputs. Zeta Potential is only reported for the optimized batch (-42 mV), so it is NaN for F1-F11. All 11 runs successfully paired with Size and EE."
"Formulation, Optimization, and Characterization of Biocompatible Inhalable D-Cycloserine-Loaded Alginate-Chitosan Nanoparticles for Pulmonary Drug Delivery","10.22159/ajpcr.2016.v9s2.11814","F4","Ionotropic gelation",,"D-Cycloserine","40 mg","CHI (85% DDA)","4 mL @ 1 mg","20 mL @ 16 mg",,,,"CaCl2","1 mL @ 18 mM","30 min",,"2 min","5.0","441 nm",,"97.93%",,"- Constants & Hunted Values: Fixed pH (ALG=5.0, CHI=5.5). Methods text states 20 mL of ALG solution, 4 mL of CHI solution, and 1 mL of CaCl2 solution were used for all runs. CaCl2 concentration is 18 mM. Stirring was 30 min post-mixing. Ultrasonication at 100% amplitude for 2 min.
- DoE Mapping: CHI: -1=1 mg, 0=2 mg, +1=3 mg. Sodium ALG: -1=8 mg, 0=12 mg, +1=16 mg. Drug: -1=40 mg, 0=80 mg, +1=120 mg.
- Volume Logic: Total Vol is not explicitly stated as a single final volume, but component volumes sum to 25 mL. Outputting NaN for Total Vol to strictly follow 'explicitly stated' rule.
- CQA Pairing Strategy: Table 3 provides DoE inputs alongside Particle Size and EE outputs. Zeta Potential is only reported for the optimized batch (-42 mV), so it is NaN for F1-F11. All 11 runs successfully paired with Size and EE."
"Formulation, Optimization, and Characterization of Biocompatible Inhalable D-Cycloserine-Loaded Alginate-Chitosan Nanoparticles for Pulmonary Drug Delivery","10.22159/ajpcr.2016.v9s2.11814","F5","Ionotropic gelation",,"D-Cycloserine","120 mg","CHI (85% DDA)","4 mL @ 3 mg","20 mL @ 8 mg",,,,"CaCl2","1 mL @ 18 mM","30 min",,"2 min","5.0","176 nm",,"98.02%",,"- Constants & Hunted Values: Fixed pH (ALG=5.0, CHI=5.5). Methods text states 20 mL of ALG solution, 4 mL of CHI solution, and 1 mL of CaCl2 solution were used for all runs. CaCl2 concentration is 18 mM. Stirring was 30 min post-mixing. Ultrasonication at 100% amplitude for 2 min.
- DoE Mapping: CHI: -1=1 mg, 0=2 mg, +1=3 mg. Sodium ALG: -1=8 mg, 0=12 mg, +1=16 mg. Drug: -1=40 mg, 0=80 mg, +1=120 mg.
- Volume Logic: Total Vol is not explicitly stated as a single final volume, but component volumes sum to 25 mL. Outputting NaN for Total Vol to strictly follow 'explicitly stated' rule.
- CQA Pairing Strategy: Table 3 provides DoE inputs alongside Particle Size and EE outputs. Zeta Potential is only reported for the optimized batch (-42 mV), so it is NaN for F1-F11. All 11 runs successfully paired with Size and EE."
"Formulation, Optimization, and Characterization of Biocompatible Inhalable D-Cycloserine-Loaded Alginate-Chitosan Nanoparticles for Pulmonary Drug Delivery","10.22159/ajpcr.2016.v9s2.11814","F6","Ionotropic gelation",,"D-Cycloserine","80 mg","CHI (85% DDA)","4 mL @ 2 mg","20 mL @ 12 mg",,,,"CaCl2","1 mL @ 18 mM","30 min",,"2 min","5.0","377 nm",,"99.16%",,"- Constants & Hunted Values: Fixed pH (ALG=5.0, CHI=5.5). Methods text states 20 mL of ALG solution, 4 mL of CHI solution, and 1 mL of CaCl2 solution were used for all runs. CaCl2 concentration is 18 mM. Stirring was 30 min post-mixing. Ultrasonication at 100% amplitude for 2 min.
- DoE Mapping: CHI: -1=1 mg, 0=2 mg, +1=3 mg. Sodium ALG: -1=8 mg, 0=12 mg, +1=16 mg. Drug: -1=40 mg, 0=80 mg, +1=120 mg.
- Volume Logic: Total Vol is not explicitly stated as a single final volume, but component volumes sum to 25 mL. Outputting NaN for Total Vol to strictly follow 'explicitly stated' rule.
- CQA Pairing Strategy: Table 3 provides DoE inputs alongside Particle Size and EE outputs. Zeta Potential is only reported for the optimized batch (-42 mV), so it is NaN for F1-F11. All 11 runs successfully paired with Size and EE."
"Formulation, Optimization, and Characterization of Biocompatible Inhalable D-Cycloserine-Loaded Alginate-Chitosan Nanoparticles for Pulmonary Drug Delivery","10.22159/ajpcr.2016.v9s2.11814","F7","Ionotropic gelation",,"D-Cycloserine","40 mg","CHI (85% DDA)","4 mL @ 3 mg","20 mL @ 16 mg",,,,"CaCl2","1 mL @ 18 mM","30 min",,"2 min","5.0","386 nm",,"98.04%",,"- Constants & Hunted Values: Fixed pH (ALG=5.0, CHI=5.5). Methods text states 20 mL of ALG solution, 4 mL of CHI solution, and 1 mL of CaCl2 solution were used for all runs. CaCl2 concentration is 18 mM. Stirring was 30 min post-mixing. Ultrasonication at 100% amplitude for 2 min.
- DoE Mapping: CHI: -1=1 mg, 0=2 mg, +1=3 mg. Sodium ALG: -1=8 mg, 0=12 mg, +1=16 mg. Drug: -1=40 mg, 0=80 mg, +1=120 mg.
- Volume Logic: Total Vol is not explicitly stated as a single final volume, but component volumes sum to 25 mL. Outputting NaN for Total Vol to strictly follow 'explicitly stated' rule.
- CQA Pairing Strategy: Table 3 provides DoE inputs alongside Particle Size and EE outputs. Zeta Potential is only reported for the optimized batch (-42 mV), so it is NaN for F1-F11. All 11 runs successfully paired with Size and EE."
"Formulation, Optimization, and Characterization of Biocompatible Inhalable D-Cycloserine-Loaded Alginate-Chitosan Nanoparticles for Pulmonary Drug Delivery","10.22159/ajpcr.2016.v9s2.11814","F8","Ionotropic gelation",,"D-Cycloserine","80 mg","CHI (85% DDA)","4 mL @ 2 mg","20 mL @ 12 mg",,,,"CaCl2","1 mL @ 18 mM","30 min",,"2 min","5.0","383 nm",,"99.21%",,"- Constants & Hunted Values: Fixed pH (ALG=5.0, CHI=5.5). Methods text states 20 mL of ALG solution, 4 mL of CHI solution, and 1 mL of CaCl2 solution were used for all runs. CaCl2 concentration is 18 mM. Stirring was 30 min post-mixing. Ultrasonication at 100% amplitude for 2 min.
- DoE Mapping: CHI: -1=1 mg, 0=2 mg, +1=3 mg. Sodium ALG: -1=8 mg, 0=12 mg, +1=16 mg. Drug: -1=40 mg, 0=80 mg, +1=120 mg.
- Volume Logic: Total Vol is not explicitly stated as a single final volume, but component volumes sum to 25 mL. Outputting NaN for Total Vol to strictly follow 'explicitly stated' rule.
- CQA Pairing Strategy: Table 3 provides DoE inputs alongside Particle Size and EE outputs. Zeta Potential is only reported for the optimized batch (-42 mV), so it is NaN for F1-F11. All 11 runs successfully paired with Size and EE."
"Formulation, Optimization, and Characterization of Biocompatible Inhalable D-Cycloserine-Loaded Alginate-Chitosan Nanoparticles for Pulmonary Drug Delivery","10.22159/ajpcr.2016.v9s2.11814","F9","Ionotropic gelation",,"D-Cycloserine","120 mg","CHI (85% DDA)","4 mL @ 1 mg","20 mL @ 16 mg",,,,"CaCl2","1 mL @ 18 mM","30 min",,"2 min","5.0","246 nm",,"97.58%",,"- Constants & Hunted Values: Fixed pH (ALG=5.0, CHI=5.5). Methods text states 20 mL of ALG solution, 4 mL of CHI solution, and 1 mL of CaCl2 solution were used for all runs. CaCl2 concentration is 18 mM. Stirring was 30 min post-mixing. Ultrasonication at 100% amplitude for 2 min.
- DoE Mapping: CHI: -1=1 mg, 0=2 mg, +1=3 mg. Sodium ALG: -1=8 mg, 0=12 mg, +1=16 mg. Drug: -1=40 mg, 0=80 mg, +1=120 mg.
- Volume Logic: Total Vol is not explicitly stated as a single final volume, but component volumes sum to 25 mL. Outputting NaN for Total Vol to strictly follow 'explicitly stated' rule.
- CQA Pairing Strategy: Table 3 provides DoE inputs alongside Particle Size and EE outputs. Zeta Potential is only reported for the optimized batch (-42 mV), so it is NaN for F1-F11. All 11 runs successfully paired with Size and EE."
"Formulation, Optimization, and Characterization of Biocompatible Inhalable D-Cycloserine-Loaded Alginate-Chitosan Nanoparticles for Pulmonary Drug Delivery","10.22159/ajpcr.2016.v9s2.11814","F10","Ionotropic gelation",,"D-Cycloserine","40 mg","CHI (85% DDA)","4 mL @ 1 mg","20 mL @ 8 mg",,,,"CaCl2","1 mL @ 18 mM","30 min",,"2 min","5.0","217 nm",,"97.96%",,"- Constants & Hunted Values: Fixed pH (ALG=5.0, CHI=5.5). Methods text states 20 mL of ALG solution, 4 mL of CHI solution, and 1 mL of CaCl2 solution were used for all runs. CaCl2 concentration is 18 mM. Stirring was 30 min post-mixing. Ultrasonication at 100% amplitude for 2 min.
- DoE Mapping: CHI: -1=1 mg, 0=2 mg, +1=3 mg. Sodium ALG: -1=8 mg, 0=12 mg, +1=16 mg. Drug: -1=40 mg, 0=80 mg, +1=120 mg.
- Volume Logic: Total Vol is not explicitly stated as a single final volume, but component volumes sum to 25 mL. Outputting NaN for Total Vol to strictly follow 'explicitly stated' rule.
- CQA Pairing Strategy: Table 3 provides DoE inputs alongside Particle Size and EE outputs. Zeta Potential is only reported for the optimized batch (-42 mV), so it is NaN for F1-F11. All 11 runs successfully paired with Size and EE."
"Formulation, Optimization, and Characterization of Biocompatible Inhalable D-Cycloserine-Loaded Alginate-Chitosan Nanoparticles for Pulmonary Drug Delivery","10.22159/ajpcr.2016.v9s2.11814","F11","Ionotropic gelation",,"D-Cycloserine","80 mg","CHI (85% DDA)","4 mL @ 2 mg","20 mL @ 12 mg",,,,"CaCl2","1 mL @ 18 mM","30 min",,"2 min","5.0","372 nm",,"99.13%",,"- Constants & Hunted Values: Fixed pH (ALG=5.0, CHI=5.5). Methods text states 20 mL of ALG solution, 4 mL of CHI solution, and 1 mL of CaCl2 solution were used for all runs. CaCl2 concentration is 18 mM. Stirring was 30 min post-mixing. Ultrasonication at 100% amplitude for 2 min.
- DoE Mapping: CHI: -1=1 mg, 0=2 mg, +1=3 mg. Sodium ALG: -1=8 mg, 0=12 mg, +1=16 mg. Drug: -1=40 mg, 0=80 mg, +1=120 mg.
- Volume Logic: Total Vol is not explicitly stated as a single final volume, but component volumes sum to 25 mL. Outputting NaN for Total Vol to strictly follow 'explicitly stated' rule.
- CQA Pairing Strategy: Table 3 provides DoE inputs alongside Particle Size and EE outputs. Zeta Potential is only reported for the optimized batch (-42 mV), so it is NaN for F1-F11. All 11 runs successfully paired with Size and EE."
"Formulation, Optimization, and Characterization of Biocompatible Inhalable D-Cycloserine-Loaded Alginate-Chitosan Nanoparticles for Pulmonary Drug Delivery","10.22159/ajpcr.2016.v9s2.11814","Opt1","Ionotropic gelation",,"D-Cycloserine","120 mg","CHI (85% DDA)","4 mL @ 3 mg","20 mL @ 16 mg",,,,"CaCl2","1 mL @ 18 mM","30 min",,"2 min","5.0","344 nm","-42 mV","98.10%","Optimized batch","- Constants & Hunted Values: Fixed pH (ALG=5.0, CHI=5.5). Methods text states 20 mL of ALG solution, 4 mL of CHI solution, and 1 mL of CaCl2 solution were used for all runs. CaCl2 concentration is 18 mM. Stirring was 30 min post-mixing. Ultrasonication at 100% amplitude for 2 min.
- DoE Mapping: CHI: -1=1 mg, 0=2 mg, +1=3 mg. Sodium ALG: -1=8 mg, 0=12 mg, +1=16 mg. Drug: -1=40 mg, 0=80 mg, +1=120 mg.
- Volume Logic: Total Vol is not explicitly stated as a single final volume, but component volumes sum to 25 mL. Outputting NaN for Total Vol to strictly follow 'explicitly stated' rule.
- CQA Pairing Strategy: Table 3 provides DoE inputs alongside Particle Size and EE outputs. Zeta Potential is only reported for the optimized batch (-42 mV), so it is NaN for F1-F11. All 11 runs successfully paired with Size and EE."
"Phytosterol-Loaded Surface-Tailored Bioactive-Polymer Nanoparticles for Cancer Treatment: Optimization, In Vitro Cell Viability, Antioxidant Activity, and Stability Studies","10.3390/gels8040219","FN1","Ionotropic gelation",,"β-Sitosterol","5 mg","CS (MW = 50-190 KDa)","10 mL @ 0.10% w/v","5 mL @ 0.40% w/v",,,,"CaCl2","5 mL @ 16 mM","1000 rpm",,"10 min","5.2","121 nm",,"90%",,"- Constants & Hunted Values: API (β-Sitosterol) is fixed at 5 mg for all runs (found in methods text). Alginate volume is fixed at 5 mL (methods text). CaCl2 volume is fixed at 5 mL (methods text). CS volume is fixed at 10 mL (methods text). Stirring is fixed at 1000 rpm (methods text). Sonication time is fixed at 10 min (methods text). pH is fixed at 5.2 (methods text). Zeta potential is only reported for the optimized formulation (+25 mV).
- DoE Mapping: No DoE codes used in Table 2; actual physical values are listed directly.
- Volume Logic: Total Vol is NaN (standalone conc. used in DoE table, final vol not explicitly stated).
- CQA Pairing Strategy: Inputs and outputs (Size, EE) are directly paired in Table 2. Zeta potential is only available for the optimized formulation found in the text. All 17 runs + 1 optimized run extracted."
"Phytosterol-Loaded Surface-Tailored Bioactive-Polymer Nanoparticles for Cancer Treatment: Optimization, In Vitro Cell Viability, Antioxidant Activity, and Stability Studies","10.3390/gels8040219","FN2","Ionotropic gelation",,"β-Sitosterol","5 mg","CS (MW = 50-190 KDa)","10 mL @ 0.20% w/v","5 mL @ 0.40% w/v",,,,"CaCl2","5 mL @ 24 mM","1000 rpm",,"10 min","5.2","142 nm",,"72%",,"- Constants & Hunted Values: API (β-Sitosterol) is fixed at 5 mg for all runs (found in methods text). Alginate volume is fixed at 5 mL (methods text). CaCl2 volume is fixed at 5 mL (methods text). CS volume is fixed at 10 mL (methods text). Stirring is fixed at 1000 rpm (methods text). Sonication time is fixed at 10 min (methods text). pH is fixed at 5.2 (methods text). Zeta potential is only reported for the optimized formulation (+25 mV).
- DoE Mapping: No DoE codes used in Table 2; actual physical values are listed directly.
- Volume Logic: Total Vol is NaN (standalone conc. used in DoE table, final vol not explicitly stated).
- CQA Pairing Strategy: Inputs and outputs (Size, EE) are directly paired in Table 2. Zeta potential is only available for the optimized formulation found in the text. All 17 runs + 1 optimized run extracted."
"Phytosterol-Loaded Surface-Tailored Bioactive-Polymer Nanoparticles for Cancer Treatment: Optimization, In Vitro Cell Viability, Antioxidant Activity, and Stability Studies","10.3390/gels8040219","FN3","Ionotropic gelation",,"β-Sitosterol","5 mg","CS (MW = 50-190 KDa)","10 mL @ 0.30% w/v","5 mL @ 0.60% w/v",,,,"CaCl2","5 mL @ 24 mM","1000 rpm",,"10 min","5.2","166 nm",,"80%",,"- Constants & Hunted Values: API (β-Sitosterol) is fixed at 5 mg for all runs (found in methods text). Alginate volume is fixed at 5 mL (methods text). CaCl2 volume is fixed at 5 mL (methods text). CS volume is fixed at 10 mL (methods text). Stirring is fixed at 1000 rpm (methods text). Sonication time is fixed at 10 min (methods text). pH is fixed at 5.2 (methods text). Zeta potential is only reported for the optimized formulation (+25 mV).
- DoE Mapping: No DoE codes used in Table 2; actual physical values are listed directly.
- Volume Logic: Total Vol is NaN (standalone conc. used in DoE table, final vol not explicitly stated).
- CQA Pairing Strategy: Inputs and outputs (Size, EE) are directly paired in Table 2. Zeta potential is only available for the optimized formulation found in the text. All 17 runs + 1 optimized run extracted."
"Phytosterol-Loaded Surface-Tailored Bioactive-Polymer Nanoparticles for Cancer Treatment: Optimization, In Vitro Cell Viability, Antioxidant Activity, and Stability Studies","10.3390/gels8040219","FN4","Ionotropic gelation",,"β-Sitosterol","5 mg","CS (MW = 50-190 KDa)","10 mL @ 0.10% w/v","5 mL @ 0.20% w/v",,,,"CaCl2","5 mL @ 24 mM","1000 rpm",,"10 min","5.2","151 nm",,"86%",,"- Constants & Hunted Values: API (β-Sitosterol) is fixed at 5 mg for all runs (found in methods text). Alginate volume is fixed at 5 mL (methods text). CaCl2 volume is fixed at 5 mL (methods text). CS volume is fixed at 10 mL (methods text). Stirring is fixed at 1000 rpm (methods text). Sonication time is fixed at 10 min (methods text). pH is fixed at 5.2 (methods text). Zeta potential is only reported for the optimized formulation (+25 mV).
- DoE Mapping: No DoE codes used in Table 2; actual physical values are listed directly.
- Volume Logic: Total Vol is NaN (standalone conc. used in DoE table, final vol not explicitly stated).
- CQA Pairing Strategy: Inputs and outputs (Size, EE) are directly paired in Table 2. Zeta potential is only available for the optimized formulation found in the text. All 17 runs + 1 optimized run extracted."
"Phytosterol-Loaded Surface-Tailored Bioactive-Polymer Nanoparticles for Cancer Treatment: Optimization, In Vitro Cell Viability, Antioxidant Activity, and Stability Studies","10.3390/gels8040219","FN5","Ionotropic gelation",,"β-Sitosterol","5 mg","CS (MW = 50-190 KDa)","10 mL @ 0.20% w/v","5 mL @ 0.40% w/v",,,,"CaCl2","5 mL @ 24 mM","1000 rpm",,"10 min","5.2","137 nm",,"73%",,"- Constants & Hunted Values: API (β-Sitosterol) is fixed at 5 mg for all runs (found in methods text). Alginate volume is fixed at 5 mL (methods text). CaCl2 volume is fixed at 5 mL (methods text). CS volume is fixed at 10 mL (methods text). Stirring is fixed at 1000 rpm (methods text). Sonication time is fixed at 10 min (methods text). pH is fixed at 5.2 (methods text). Zeta potential is only reported for the optimized formulation (+25 mV).
- DoE Mapping: No DoE codes used in Table 2; actual physical values are listed directly.
- Volume Logic: Total Vol is NaN (standalone conc. used in DoE table, final vol not explicitly stated).
- CQA Pairing Strategy: Inputs and outputs (Size, EE) are directly paired in Table 2. Zeta potential is only available for the optimized formulation found in the text. All 17 runs + 1 optimized run extracted."
"Phytosterol-Loaded Surface-Tailored Bioactive-Polymer Nanoparticles for Cancer Treatment: Optimization, In Vitro Cell Viability, Antioxidant Activity, and Stability Studies","10.3390/gels8040219","FN6","Ionotropic gelation",,"β-Sitosterol","5 mg","CS (MW = 50-190 KDa)","10 mL @ 0.20% w/v","5 mL @ 0.60% w/v",,,,"CaCl2","5 mL @ 16 mM","1000 rpm",,"10 min","5.2","170 nm",,"87%",,"- Constants & Hunted Values: API (β-Sitosterol) is fixed at 5 mg for all runs (found in methods text). Alginate volume is fixed at 5 mL (methods text). CaCl2 volume is fixed at 5 mL (methods text). CS volume is fixed at 10 mL (methods text). Stirring is fixed at 1000 rpm (methods text). Sonication time is fixed at 10 min (methods text). pH is fixed at 5.2 (methods text). Zeta potential is only reported for the optimized formulation (+25 mV).
- DoE Mapping: No DoE codes used in Table 2; actual physical values are listed directly.
- Volume Logic: Total Vol is NaN (standalone conc. used in DoE table, final vol not explicitly stated).
- CQA Pairing Strategy: Inputs and outputs (Size, EE) are directly paired in Table 2. Zeta potential is only available for the optimized formulation found in the text. All 17 runs + 1 optimized run extracted."
"Phytosterol-Loaded Surface-Tailored Bioactive-Polymer Nanoparticles for Cancer Treatment: Optimization, In Vitro Cell Viability, Antioxidant Activity, and Stability Studies","10.3390/gels8040219","FN7","Ionotropic gelation",,"β-Sitosterol","5 mg","CS (MW = 50-190 KDa)","10 mL @ 0.20% w/v","5 mL @ 0.40% w/v",,,,"CaCl2","5 mL @ 24 mM","1000 rpm",,"10 min","5.2","145 nm",,"74%",,"- Constants & Hunted Values: API (β-Sitosterol) is fixed at 5 mg for all runs (found in methods text). Alginate volume is fixed at 5 mL (methods text). CaCl2 volume is fixed at 5 mL (methods text). CS volume is fixed at 10 mL (methods text). Stirring is fixed at 1000 rpm (methods text). Sonication time is fixed at 10 min (methods text). pH is fixed at 5.2 (methods text). Zeta potential is only reported for the optimized formulation (+25 mV).
- DoE Mapping: No DoE codes used in Table 2; actual physical values are listed directly.
- Volume Logic: Total Vol is NaN (standalone conc. used in DoE table, final vol not explicitly stated).
- CQA Pairing Strategy: Inputs and outputs (Size, EE) are directly paired in Table 2. Zeta potential is only available for the optimized formulation found in the text. All 17 runs + 1 optimized run extracted."
"Phytosterol-Loaded Surface-Tailored Bioactive-Polymer Nanoparticles for Cancer Treatment: Optimization, In Vitro Cell Viability, Antioxidant Activity, and Stability Studies","10.3390/gels8040219","FN8","Ionotropic gelation",,"β-Sitosterol","5 mg","CS (MW = 50-190 KDa)","10 mL @ 0.10% w/v","5 mL @ 0.60% w/v",,,,"CaCl2","5 mL @ 24 mM","1000 rpm",,"10 min","5.2","123 nm",,"93%",,"- Constants & Hunted Values: API (β-Sitosterol) is fixed at 5 mg for all runs (found in methods text). Alginate volume is fixed at 5 mL (methods text). CaCl2 volume is fixed at 5 mL (methods text). CS volume is fixed at 10 mL (methods text). Stirring is fixed at 1000 rpm (methods text). Sonication time is fixed at 10 min (methods text). pH is fixed at 5.2 (methods text). Zeta potential is only reported for the optimized formulation (+25 mV).
- DoE Mapping: No DoE codes used in Table 2; actual physical values are listed directly.
- Volume Logic: Total Vol is NaN (standalone conc. used in DoE table, final vol not explicitly stated).
- CQA Pairing Strategy: Inputs and outputs (Size, EE) are directly paired in Table 2. Zeta potential is only available for the optimized formulation found in the text. All 17 runs + 1 optimized run extracted."
"Phytosterol-Loaded Surface-Tailored Bioactive-Polymer Nanoparticles for Cancer Treatment: Optimization, In Vitro Cell Viability, Antioxidant Activity, and Stability Studies","10.3390/gels8040219","FN9","Ionotropic gelation",,"β-Sitosterol","5 mg","CS (MW = 50-190 KDa)","10 mL @ 0.30% w/v","5 mL @ 0.40% w/v",,,,"CaCl2","5 mL @ 32 mM","1000 rpm",,"10 min","5.2","146 nm",,"72%",,"- Constants & Hunted Values: API (β-Sitosterol) is fixed at 5 mg for all runs (found in methods text). Alginate volume is fixed at 5 mL (methods text). CaCl2 volume is fixed at 5 mL (methods text). CS volume is fixed at 10 mL (methods text). Stirring is fixed at 1000 rpm (methods text). Sonication time is fixed at 10 min (methods text). pH is fixed at 5.2 (methods text). Zeta potential is only reported for the optimized formulation (+25 mV).
- DoE Mapping: No DoE codes used in Table 2; actual physical values are listed directly.
- Volume Logic: Total Vol is NaN (standalone conc. used in DoE table, final vol not explicitly stated).
- CQA Pairing Strategy: Inputs and outputs (Size, EE) are directly paired in Table 2. Zeta potential is only available for the optimized formulation found in the text. All 17 runs + 1 optimized run extracted."
"Phytosterol-Loaded Surface-Tailored Bioactive-Polymer Nanoparticles for Cancer Treatment: Optimization, In Vitro Cell Viability, Antioxidant Activity, and Stability Studies","10.3390/gels8040219","FN10","Ionotropic gelation",,"β-Sitosterol","5 mg","CS (MW = 50-190 KDa)","10 mL @ 0.20% w/v","5 mL @ 0.60% w/v",,,,"CaCl2","5 mL @ 32 mM","1000 rpm",,"10 min","5.2","168 nm",,"75%",,"- Constants & Hunted Values: API (β-Sitosterol) is fixed at 5 mg for all runs (found in methods text). Alginate volume is fixed at 5 mL (methods text). CaCl2 volume is fixed at 5 mL (methods text). CS volume is fixed at 10 mL (methods text). Stirring is fixed at 1000 rpm (methods text). Sonication time is fixed at 10 min (methods text). pH is fixed at 5.2 (methods text). Zeta potential is only reported for the optimized formulation (+25 mV).
- DoE Mapping: No DoE codes used in Table 2; actual physical values are listed directly.
- Volume Logic: Total Vol is NaN (standalone conc. used in DoE table, final vol not explicitly stated).
- CQA Pairing Strategy: Inputs and outputs (Size, EE) are directly paired in Table 2. Zeta potential is only available for the optimized formulation found in the text. All 17 runs + 1 optimized run extracted."
"Phytosterol-Loaded Surface-Tailored Bioactive-Polymer Nanoparticles for Cancer Treatment: Optimization, In Vitro Cell Viability, Antioxidant Activity, and Stability Studies","10.3390/gels8040219","FN11","Ionotropic gelation",,"β-Sitosterol","5 mg","CS (MW = 50-190 KDa)","10 mL @ 0.20% w/v","5 mL @ 0.20% w/v",,,,"CaCl2","5 mL @ 16 mM","1000 rpm",,"10 min","5.2","139 nm",,"78%",,"- Constants & Hunted Values: API (β-Sitosterol) is fixed at 5 mg for all runs (found in methods text). Alginate volume is fixed at 5 mL (methods text). CaCl2 volume is fixed at 5 mL (methods text). CS volume is fixed at 10 mL (methods text). Stirring is fixed at 1000 rpm (methods text). Sonication time is fixed at 10 min (methods text). pH is fixed at 5.2 (methods text). Zeta potential is only reported for the optimized formulation (+25 mV).
- DoE Mapping: No DoE codes used in Table 2; actual physical values are listed directly.
- Volume Logic: Total Vol is NaN (standalone conc. used in DoE table, final vol not explicitly stated).
- CQA Pairing Strategy: Inputs and outputs (Size, EE) are directly paired in Table 2. Zeta potential is only available for the optimized formulation found in the text. All 17 runs + 1 optimized run extracted."
"Phytosterol-Loaded Surface-Tailored Bioactive-Polymer Nanoparticles for Cancer Treatment: Optimization, In Vitro Cell Viability, Antioxidant Activity, and Stability Studies","10.3390/gels8040219","FN12","Ionotropic gelation",,"β-Sitosterol","5 mg","CS (MW = 50-190 KDa)","10 mL @ 0.20% w/v","5 mL @ 0.40% w/v",,,,"CaCl2","5 mL @ 24 mM","1000 rpm",,"10 min","5.2","140 nm",,"74%",,"- Constants & Hunted Values: API (β-Sitosterol) is fixed at 5 mg for all runs (found in methods text). Alginate volume is fixed at 5 mL (methods text). CaCl2 volume is fixed at 5 mL (methods text). CS volume is fixed at 10 mL (methods text). Stirring is fixed at 1000 rpm (methods text). Sonication time is fixed at 10 min (methods text). pH is fixed at 5.2 (methods text). Zeta potential is only reported for the optimized formulation (+25 mV).
- DoE Mapping: No DoE codes used in Table 2; actual physical values are listed directly.
- Volume Logic: Total Vol is NaN (standalone conc. used in DoE table, final vol not explicitly stated).
- CQA Pairing Strategy: Inputs and outputs (Size, EE) are directly paired in Table 2. Zeta potential is only available for the optimized formulation found in the text. All 17 runs + 1 optimized run extracted."
